Cadena,NúmeroTienda,Tienda
OXXO,50022,Tepeji MEX
OXXO,5008E,Ramos Millán MEX
OXXO,500K9,Morones Prieto MEX
OXXO,500QC,Sevilla II
OXXO,500V0,Torre Eugenia MEX
OXXO,500YH,N Pabellón Siglo XXI MEX
OXXO,5017P,Arco MEX
OXXO,502EI,Cholula MEX
OXXO,502EY,General Versalles MEX
OXXO,502YM,Amberes MEX
OXXO,5035L,Cuauhtemoc Delta MEX
OXXO,503F7,Chile MEX
OXXO,503LJ,N Havre Plug In MEX
OXXO,503W9,Masry MEX
OXXO,50404,Dr. Velasco MEX
OXXO,504BI,Anaxágoras MEX
OXXO,504HB,Terreros I MEX
OXXO,504OK,Santo Domingo MEX
OXXO,504PE,Ahorro MEX
OXXO,504SG,Plaza Juárez I MEX
OXXO,504XB,Ignacio I MEX
OXXO,5053V,Alameda Central MEX
OXXO,505C8,Lassaga MEX
OXXO,505ES,Sama Center MEX
OXXO,505QH,Carranza MEX
OXXO,505RA,Chopán MEX
OXXO,505WS,Najera I MEX
OXXO,505Z8,Milán MEX
OXXO,5064N,Mérida MEX
OXXO,506CJ,María Selene MEX
OXXO,506TN,Parque Etiopía MEX
OXXO,506WQ,Mérida 241 MEX
OXXO,507BL,Habana I MEX
OXXO,50700,Lucas Alamán MEX
OXXO,507ZP,Roldán MEX
OXXO,50854,Diagonal Poniente MEX 
OXXO,5088G,Sofía MEX
OXXO,508A4,Dr. Bolaños MEX
OXXO,508A8,Tizapán MEX
OXXO,509LW,BBVA Terraza MEX
OXXO,509NC,Taller 29 MEX
OXXO,509ST,Napolés MEX
OXXO,509WC,Bolivar MEX
OXXO,50A16,Quito MEX
OXXO,50AFW,Salto del Agua MEX
OXXO,50AMQ,Amores MEX
OXXO,50APB,Etiopía MEX
OXXO,50APG,Negrete MEX
OXXO,50ATM,Amsterdam MEX
OXXO,50AWA,Regina MEX
OXXO,50AYR,Tránsito MEX
OXXO,50BDM,Hermosillo MEX
OXXO,50BIM,Bismark MEX
